recording_id,segment_id,split,signer_id,text_format,segment_text,gold_gloss_sequence,vietnamese_translation,fingerspelled_items_FS,classifier_or_NM_notes,annotator_id,double_annotated,iaa_reviewed,annotation_status,notes
VSL_SEG_000021,d00815,train,SIGNER_05,dialog_turns,"Chào anh, em gửi báo cáo dự án qua i-meo rồi, anh xem chưa?|Anh xem rồi, nội dung rõ ràng và chi tiết. Em làm tốt lắm.|Em có cần chỉnh sửa thêm phần nào không?|Em bổ sung thêm biểu đồ cột để trình bày kết quả rõ hơn nhé. Vâng, em sẽ thêm biểu đồ và gửi lại cho anh chiều nay. Tốt, sau đó anh sẽ trình bày báo cáo này trong cuộc họp.",,,,,,no,no,pending,
VSL_SEG_000022,gf2_congviec_001,train,SIGNER_06,continuous,"Công ty may Việt Tiến, việc nhiều quá. Sếp mắng, Huệ bực bội vô cùng. Lương thấp hơn công nhân khu công nghiệp Bình Dương. Nếu sếp mắng tiếp, Huệ nghỉ việc. Công việc mệt như gánh đá. Huệ giận, mặt đỏ gay. Đồng nghiệp nói, sếp bị tai biến mạch máu não nên nóng tính. Nhưng sếp quát to nhất phòng. Nếu sếp cứ thế, nhân viên sợ hãi. Huệ chán, muốn bỏ về. Nhìn bảng hướng dẫn may, thân trước hạ thấp hơn thân sau. Sai sót nhỏ, sếp mắng kinh khủng. Huệ lo lắng, tim đập nhanh. Chị Oanh kể, chị uống thuốc tránh thai cấp tốc vì quá căng thẳng. Huệ ngạc nhiên, chuyện thật kỳ lạ. Huệ tức giận, ném kéo xuống bàn. Huệ nghỉ việc, thật thoải mái.",,,,,,no,no,pending,
VSL_SEG_000023,gf2_congviec_002,train,SIGNER_01,continuous,"Trước khi vào công ty may Việt Tiến, hãy hít sâu vì rất lo. Nhớ kiểm tra trục quấn chỉ lúc vô suốt, đừng để sai sót. Hãy cẩn thận, nhưng tay vẫn run vì sợ bị mắng. Nhân viên mới hãy làm chậm, tuy chậm nhưng đừng làm hỏng vải. Nhớ đọc kỹ hướng dẫn, đừng để sếp giận. Sau khi xong việc, hãy dọn chỗ ngồi thật sạch. Hãy nhìn kỹ mẫu, đừng để nhầm màu khiến lòng lo lắng. Nhớ giữ im lặng, đừng gây ồn khiến mọi người bực. Hãy nhớ kiến thức trường phổ thông trung học để tính số lượng. Hãy nhớ tính chất cơ bản của phân số khi chia vải. Hãy tập trung, đừng để sự sợ hãi làm hỏng sản phẩm. Nhân viên tại khu công nghiệp Bình Dương hãy làm việc cẩn thận.",,,,,,no,no,pending,
VSL_SEG_000024,gf2_congviec_003,train,SIGNER_08,dialog_turns,"Thầy Khánh hỏi Trang làm việc ở đâu?|Trang trả lời đang làm công ty may Việt Tiến.|Thầy Khánh ngạc nhiên Trang làm máy khó vậy sao?|Trang chỉ ốc điều chỉnh bàn đưa vải.|Trang giải thích đường góc đáy thân trước rất khó may.|Thầy Khánh bất ngờ Trang giỏi thế.|Trang cười mừng vì thầy khen.|Trang nói công nhân bị mắng nếu may sai.|Thầy Khánh nhắc Trang học đạo đức xã hội chủ nghĩa.|Trang gật đầu, hứa làm tốt.|Thầy Khánh hỏi Trang đang học thêm gì?|Trang đáp được thầy giáo cảng Hải Phòng dạy thêm.|Thầy Khánh ngạc nhiên vì Trang học nhiều nơi.|Trang lo sợ không đủ thời gian ngủ.|Thầy Khánh cười, bảo Trang cố gắng.",,,,,,no,no,pending,
VSL_SEG_000025,r2_congviec_002,train,SIGNER_07,dialog_turns,"Chào chú Ba, nghe nói chú vừa nghỉ việc?|Đúng rồi, xưởng gỗ của Khôi vừa đóng cửa.|Chú thấy thế nào?|Khôi buồn lắm, Khôi làm ở đó hai mươi năm.|Chú tiếc điều gì nhất?|Khôi tiếc nhất là xa anh em thợ.|Sắp tới chú định làm gì?|Khôi đang tìm việc mới gần chợ Đồng Xuân. Chúc chú sớm tìm được việc. Cảm ơn cháu nhiều.",,,,,,no,no,pending,
VSL_SEG_000026,r2_congviec_003,train,SIGNER_03,dialog_turns,"Mai ơi, Anrê Dũng Lạc đang làm ở đâu?|Mình đang làm ở siêu thị Co.opmart.|Anrê Dũng Lạc làm việc gì ở đó?|Mình xếp hàng lên kệ và tính tiền.|Anrê Dũng Lạc có thích công việc không?|Mình rất thích, khách hàng thân thiện.|Thích hơn chỗ làm cũ à?|Ừ, chỗ này gần nhà hơn, lương cao hơn. Nếu siêu thị tuyển thêm thì báo mình nhé. Được, mình sẽ hỏi chị quản lý cho Anrê Dũng Lạc.",,,,,,no,no,pending,
VSL_SEG_000027,r2_congviec_004,train,SIGNER_08,dialog_turns,"Hùng ơi, mai công ty kiểm tra tay nghề đấy.|Kiểm tra à? Mình lo quá.|Tiền lo phần nào nhất?|Mình sợ phần may cổ áo, khó lắm.|Tiền đã tập chưa?|Mình đang tập mỗi tối nhưng vẫn run.|Nếu trượt thì sao?|Nếu trượt thì mình phải thi lại tháng sau. Đừng sợ, Tiền may đẹp hơn mình nhiều. Cảm ơn Tiền, mình sẽ cố hết sức.",,,,,,no,no,pending,
VSL_SEG_000028,r2_congviec_005,train,SIGNER_03,continuous,"Ba năm trước, tôi xin việc ở khu công nghiệp Bình Dương. Lúc đó tôi chưa biết nghề gì. Chị Mai nhận tôi vào tổ đóng gói. Chị dạy tôi dán thùng, xếp hàng. Tôi làm chậm nhưng chị không mắng. Có lần tôi dán nhầm nhãn hàng. Tôi sợ, đến xin lỗi chị ngay. Chị bảo làm lại từ đầu, cẩn thận hơn. Sau một năm, tôi làm nhanh nhất tổ. Bây giờ tôi đang làm tổ trưởng. Tôi biết ơn chị Mai rất nhiều. Nếu không có chị thì tôi không có hôm nay. Ngày mai tôi sẽ mua quà cảm ơn chị.",,,,,,no,no,pending,
VSL_SEG_000029,r2_congviec_006,train,SIGNER_05,continuous,"Hôm qua, công ty Đăng có chuyện bất ngờ. Buổi sáng, mọi người đang làm việc bình thường. Giám đốc bỗng gọi cả xưởng ra sân. Ai cũng ngạc nhiên, nhìn nhau lo lắng. Hóa ra công ty nhận đơn hàng lớn từ cảng Hải Phòng. Giám đốc thưởng mỗi người một tháng lương. Đăng bất ngờ quá, đứng im mấy giây. Chị Thu cạnh Đăng reo lên vui sướng. Anh em vỗ tay to nhất là tổ máy. Buổi chiều, cả xưởng làm việc hăng hơn. Đăng gọi điện kể ngay cho mẹ. Mẹ Đăng cũng ngạc nhiên và mừng lắm.",,,,,,no,no,pending,
VSL_SEG_000030,r2_congviec_009,train,SIGNER_05,dialog_turns,"Cả lớp, hôm nay tập may túi áo nhé.|Thưa thầy, em chán may túi áo lắm ạ.|Vì sao em chán?|Em may mười lần nhưng đường chỉ vẫn lệch ạ.|Đừng nản, ai mới học cũng thế.|Thưa thầy, em ghét nhất phần góc túi ạ.|Góc túi khó, em may chậm lại nhé.|Nếu em may chậm thì có kịp giờ không ạ?|May đúng trước, may nhanh sau, em nhớ nhé.|Vâng ạ, em sẽ thử lại.|Tốt, thầy khen em không bỏ cuộc.",,,,,,no,no,pending,
VSL_SEG_000031,r2_congviec_012,train,SIGNER_07,dialog_turns,"Hôm nay lớp mình ôn thi tay nghề nhé.|Thưa thầy, hôm qua Ngân Hùng nghỉ học ạ.|Vì sao Hùng nghỉ vậy?|Mẹ Ngân ốm, Ngân phải đi làm thêm ạ.|Thầy nghe mà buồn, tiếc cho Hùng quá.|Thưa thầy, em muốn chép bài giúp Ngân ạ.|Tốt lắm, thầy khen em biết thương Khánh.|Thưa thầy, nếu Hùng thi trượt thì sao ạ?|Nếu trượt thì năm sau thi lại, nhưng đừng lo.|Vâng, ngày mai em mang bài cho Hùng ạ.",,,,,,no,no,pending,
VSL_SEG_000032,r3_congviec_001,train,SIGNER_04,dialog_turns,"Chào chuyên gia, công ty may Việt Tiến hiện nay thế nào?|Quá tệ, công nhân bực bội vì bị bó buộc giờ giấc. Nếu lương thấp thì mọi người giận dữ bỏ việc. Quản lý đối xử tệ hơn cả con bò tót hung dữ.|Công ty may Việt Tiến có bí quyết giữ chân nhân viên không?|Bó tay, không cách nào khiến mọi người hết chán nản. Nếu sếp cứ mắng nhiếc thì công nhân càng sợ hãi. Áp lực công việc nặng như kéo cánh buồm ngược gió.|Khu công nghiệp Bình Dương có tình trạng tương tự không?|Khu công nghiệp Bình Dương hỗn loạn nhất vùng này. Công nhân đó ghét sếp vì bị chèn ép quá mức. Thật đáng tiếc cho những người làm việc tận tụy.",,,,,,no,no,pending,
VSL_SEG_000033,r3_congviec_002,train,SIGNER_03,dialog_turns,"Anh làm việc tại công ty may Việt Tiến, cảm thấy thế nào?|Tôi sợ hãi, lo lắng vì áp lực lớn.|Trước khi vào làm, anh thấy môi trường ra sao?|Văn phòng dùng bóng điện neon, sáng quá làm tôi nhức đầu.|Công việc khó khăn, nhưng anh vẫn cố gắng?|Tôi cố gắng, nhưng sếp thường xuyên bôi nhọ danh dự tôi.|Anh dùng gì xóa lỗi sai trên giấy tờ?|Tôi dùng bút xóa, tay run rẩy vì sợ sếp mắng.|Hôm qua, anh thấy điều gì bất thường?|Tôi thấy bóng điện tròn vỡ tan, tôi hoảng sợ.|Chi tiết đó nằm trong băng video giám sát đúng không?|Đúng, tôi xem lại mà tim đập nhanh, lo lắng.|Khu công nghiệp Bình Dương hiện nay thế nào?|Mọi thứ hỗn loạn, tôi thực sự rất sợ.",,,,,,no,no,pending,
VSL_SEG_000034,r3_congviec_003,train,SIGNER_05,dialog_turns,"Chào Nghĩa, Nghĩa làm việc chỗ nào?|Nghĩa đang làm công ty may Việt Tiến.|Ồ, bất ngờ quá, lương cao không?|Lương cao, Nghĩa vừa được tăng lương.|Thật sao, ngạc nhiên thật!|Công việc này đúng bước nhảy vọt sự nghiệp.|Nghĩa còn bán thêm bưu ảnh, bưu thiếp.|Bán ở đâu, lạ thế?|Nghĩa bán tại chợ Đồng Xuân.|Hưng bị sếp mắng, buồn quá.|Hưng đang làm gì?|Hưng bán băng vệ sinh, khó khăn.|Hưng cần bước ngoặc thay đổi công việc.|Nghĩa giúp Hưng tìm việc mới nhé?|Được, Nghĩa sẽ giúp Hưng.",,,,,,no,no,pending,
VSL_SEG_000035,r3_congviec_004,train,SIGNER_03,dialog_turns,"Chào Hân, việc làm sao?|Chán lắm, công ty may Việt Tiến áp lực nhất.|Vì sếp mắng suốt nên Hân bực mình.|Sếp khó tính như bướu cổ, nhìn ghét thật.|Hân muốn nghỉ việc?|Đúng, làm việc mệt hơn chạy bộ.|Vì lương thấp nên Hân buồn.|Khu công nghiệp Bình Dương tuyển người đấy.|Hân sợ bệnh, sợ bại liệt, sợ bạch cầu thấp.|Lo lắng quá, không dám đi.|Hân cần tìm bạn đời cùng chia sẻ.|Bạn yêu bạn ấy không?|Hân yêu, nhưng giờ lo cơm áo gạo tiền.|Thôi, nghỉ ngơi cho đỡ ngán ngẩm.",,,,,,no,no,pending,
VSL_SEG_000036,r3_congviec_005,train,SIGNER_05,continuous,"Năm ngoái, Tuyết làm công ty may Việt Tiến. Tuyết chăm chỉ, muốn kiếm tiền để nuôi mẹ. Đồng nghiệp ghét Tuyết, hay nói xấu. Họ dùng bạo lực thể xác, đánh Tuyết. Tuyết sợ hãi, khóc nhiều, lòng buồn bã. Tuyết nhớ ngày xưa, sợ bạo lực học đường. Hồi nhỏ, Tuyết học bản cửu chương rất chậm. Tuyết buồn vì học kém. Tuyết làm bản dịch tiếng Anh để thăng tiến. Nhưng sếp mắng, Tuyết rất thất vọng. Khu công nghiệp Bình Dương, Tuyết bị đuổi việc. Tuyết tiếc công sức bỏ ra. Tuyết nhớ người yêu, Bạn ấy yêu tôi nhiều. Hai người chia tay, Tuyết đau lòng. Ngày mai, Tuyết tìm việc mới. Tuyết lo lắng, sợ hãi tương lai. Cuộc đời Tuyết, thật nhiều nỗi buồn.",,,,,,no,no,pending,
VSL_SEG_000037,r3_congviec_006,train,SIGNER_06,continuous,"Hôm nay Thiên vui quá. Thiên nộp bản lý lịch vào công ty may Việt Tiến. Thiên chuẩn bị bản kê khai chi tiết. Thiên viết bản dự thảo kế hoạch làm việc. Thiên gửi bản kiến nghị cải tiến quy trình. Thiên gửi thêm bản ghi nhớ nội dung họp. Thiên hồi hộp chờ đợi. Thiên được sếp khen làm việc chu đáo. Thiên bất ngờ nhận thông báo trúng tuyển. Thiên mừng rỡ nhảy lên. Nếu làm tốt, Thiên thì được tăng lương. Nếu chăm chỉ, Thiên thì thăng tiến nhanh. Thiên bị bạn bè trêu chọc vì quá hớn hở. Thiên cười tươi, lòng hạnh phúc. Thiên biết ơn công ty may Việt Tiến. Thiên sẵn sàng bắt đầu công việc mới.",,,,,,no,no,pending,
VSL_SEG_000038,r3_congviec_007,train,SIGNER_04,continuous,"Hãy cùng làm việc tại nhà máy sữa Vinamilk thật vui nhé. Đầu tiên, kỹ thuật viên xem kỹ bản vẽ máy móc. Hãy kiểm tra bản quyền phần mềm điều khiển thật cẩn thận. Vì yêu nghề nên mọi người làm việc rất say mê. Hãy bảo trì máy móc định kỳ để máy chạy êm. Vì máy sạch nên sữa ra trắng tinh, tuyệt vời quá. Tuy mệt nhưng công nhân vẫn cười tươi, hạnh phúc. Anh Thành hãy bấm còi báo hiệu bắt đầu vận hành. Mọi người làm việc bản lĩnh, tự tin, rất ngưỡng mộ. Hãy điều khiển cánh tay robot di chuyển thật chính xác. Công việc khó nhưng anh Thành thấy rất thú vị. Hãy chuyển sữa sang kho khu công nghiệp Bình Dương. Hãy dọn dẹp chỗ làm sạch sẽ, ngăn nắp nhé. Hãy cùng nhau hoàn thành công việc thật xuất sắc.",,,,,,no,no,pending,
VSL_SEG_000039,r3_congviec_008,train,SIGNER_03,continuous,Tôi rất biết ơn công ty may Việt Tiến. Hãy bấm giờ chính xác để may áo nhanh. Nhân viên đang kiểm tra vải thật kỹ. Đừng làm sai quy trình bất hợp pháp. Hãy sắp xếp vải gọn gàng để làm việc dễ. Máy may đang chạy tiếng ồn gây bất tiện. Hãy lau máy sạch sẽ nhé. Khu công nghiệp Bình Dương quy định an toàn bất khả xâm phạm. Đừng làm hỏng máy vì tôi rất lo. Hãy làm việc chăm chỉ như chiến binh bất khả chiến bại. Nhớ tắt điện khi ra về. Xin lỗi vì tôi làm phiền mọi người.,,,,,,no,no,pending,
VSL_SEG_000040,r3_congviec_009,train,SIGNER_03,continuous,"Hãy bật máy tính tại công ty may Việt Tiến. Kiểm tra máy may, nếu kim gãy thì thay mới. Vải phải phẳng như tờ giấy. Đừng để chỉ bập bênh, hãy vặn chặt ốc. Nếu máy chạy bất đồng bộ thì gọi kỹ thuật. Nhân viên khu công nghiệp Bình Dương làm việc nhanh nhất. Khi bất đồng ý kiến, hãy nói nhẹ nhàng. Đừng mắng đồng nghiệp bất tài, hãy hướng dẫn họ. Luôn giữ chỗ làm sạch sẽ. Sắp xếp vải theo màu sắc rõ ràng. Hoàn thành sản phẩm đúng thời hạn. Kiểm tra lỗi kỹ cuối cùng. Gửi hàng về kho cẩn thận. Biết ơn sếp đã giúp đỡ.",,,,,,no,no,pending,
VSL_SEG_000041,r3_congviec_010,train,SIGNER_04,dialog_turns,"Thầy giận dữ, Lộc làm bài sai hết.|Lộc sợ hãi, Lộc xin lỗi thầy.|Hôm qua Lộc đi nhà máy sữa Vinamilk chơi.|Thầy bực, Lộc lười học nhưng thích chơi.|Lộc bắt chước dáng thầy, thầy rất giận.|Thầy mắng, Lộc bắn hụt kiến thức cơ bản.|Lộc lúng túng, Lộc nói chuyện bắn lén.|Thầy ngạc nhiên, Lộc dùng từ bắn yểm hộ.|Lộc nói từ bắc băng dương, thầy chán nản.|Lộc tuy học kém nhưng rất chăm chỉ.|Ngày mai Lộc phải đến công ty may Việt Tiến thực tập.|Thầy nhắc, Lộc lo lắng nhìn thầy.|Lộc biết ơn thầy chỉ bảo.|Thầy hết giận, thầy khen Lộc ngoan.",,,,,,no,no,pending,
VSL_SEG_000042,r3_congviec_011,train,SIGNER_06,dialog_turns,"Thầy nhìn Sơn, mặt nghiêm khắc.|Sơn run rẩy, sợ hãi nhìn thầy.|Sơn đang cầm bằng cấp giả.|Thầy bắt quả tang Sơn gian lận.|Sơn lo lắng, mồ hôi chảy nhiều.|Sơn bị thầy mắng nặng lời.|Sơn sợ bị đuổi học.|Thầy hỏi Sơn muốn làm việc chỗ nào.|Sơn muốn vào nhà máy sữa Vinamilk.|Thầy nhắc Sơn, làm giả bị bắt hụt việc.|Sơn hối hận, mặt buồn bã.|Thầy đang kiểm tra sức khỏe, giống bắt mạch.|Thầy nói chuyện bắt cóc để dọa Sơn.|Sơn sợ hãi, khóc nức nở.|Sơn được thầy tha thứ lần này.|Sơn hứa cố gắng học tập.",,,,,,no,no,pending,
