recording_id,segment_id,split,signer_id,domain,genre,emotion,length_bucket,text_format,utterance_count,segmented_word_count,estimated_duration_seconds,segment_text,named_entities,named_entity_handling,safety_level,qc_flags,near_dup_cluster,review_status,source,source_ids,license_class,signer_instruction
VSL_SEG_000011,d00802,train,SIGNER_08,Công việc,,,standard,dialog_turns,6,93,70,"Chào anh, hôm nay anh có bận không? Tôi muốn hỏi về lương tháng này.|Chào em, anh không bận. Em hỏi đi, có vấn đề gì về tiền lương vậy?|Lương tháng này của em hình như thiếu, em đếm thấy không đủ.|Để anh kiểm tra lại bảng lương cho em. Có thể kế toán tính nhầm con số.|Em cảm ơn anh. Em lo lắng vì tiền lương rất quan trọng với em.|Em yên tâm, anh sẽ giải quyết. Nếu thiếu thật, công ty sẽ trả bù cho em.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0013,qc_pass_pending_human_vsl_review,generated,d00802,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000012,d00803,train,SIGNER_07,Công việc,,,standard,dialog_turns,8,75,56,"Anh ơi, khi nào công ty trả thưởng cuối năm vậy?|Phần thưởng cuối năm sẽ trả vào tháng mười hai, trước lễ.|Năm nay thưởng nhiều không anh?|Em trông chờ lắm.|Năm nay công ty làm ăn tốt, kết quả kinh doanh cao nên thưởng nhiều hơn.|Nghe vậy em rất vui.|Em sẽ cố gắng làm việc chăm chỉ hơn.|Đúng vậy, em chăm chỉ thì cơ hội thưởng cao sẽ tăng.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0014,qc_pass_pending_human_vsl_review,generated,d00803,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000013,d00804,train,SIGNER_04,Công việc,,,standard,dialog_turns,9,77,58,"Sáng mai chúng ta có họp nhóm, em chuẩn bị báo cáo chưa?|Em chuẩn bị gần xong rồi, còn vài chi tiết em cần xem lại.|Cuộc họp bắt đầu lúc tám giờ, em đừng đến muộn nhé.|Vâng, em sẽ đến sớm.|Họp ở phòng nào vậy anh?|Họp ở phòng họp lầu hai.|Nhớ mang theo dữ liệu và biểu đồ.|Em hiểu rồi.|Em sẽ in báo cáo và chuẩn bị máy tính.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0015,qc_pass_pending_human_vsl_review,generated,d00804,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000014,d00805,train,SIGNER_06,Công việc,,,standard,dialog_turns,8,79,59,"Cuộc họp hôm nay bàn về chủ đề gì vậy chị?|Chúng ta sẽ thảo luận về dự án mới và phân công nhiệm vụ.|Em mong được tham gia dự án này.|Em nghĩ nó rất thú vị.|Tốt, thái độ của em rất tích cực.|Em có ý tưởng gì không?|Em có vài gợi ý về phương pháp làm việc hiệu quả hơn.|Vậy trong cuộc họp em phát biểu nhé, mọi người sẽ lắng nghe.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0016,qc_pass_pending_human_vsl_review,generated,d00805,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000015,d00806,train,SIGNER_03,Công việc,,,standard,dialog_turns,10,77,58,"Chào em, em là nhân viên mới phải không?|Chào mừng em đến công ty.|Vâng, chào anh.|Em rất vui được gặp gỡ các đồng nghiệp.|Anh là người quản lý nhóm.|Có gì khó khăn em cứ hỏi anh.|Em mong được hợp tác cùng mọi người.|Em yên tâm, ở đây mọi người thân thiết và hỗ trợ nhau.|Em rất mừng.|Em sẽ cố gắng học hỏi kinh nghiệm từ các anh chị.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0017,qc_pass_pending_human_vsl_review,generated,d00806,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000016,d00807,train,SIGNER_01,Công việc,,,standard,dialog_turns,8,83,62,"Anh nghe nói em sắp được thăng tiến lên chức trưởng nhóm, đúng không?|Vâng, giám đốc thông báo em sẽ nhận chức vụ mới tháng sau.|Chúc mừng em!|Em xứng đáng vì em làm việc chăm chỉ và có năng lực.|Em hơi hồi hộp vì trách nhiệm sẽ nặng hơn.|Em đừng lo, em có kinh nghiệm và kỹ năng tốt.|Em sẽ làm được.|Em sẽ cố gắng lãnh đạo nhóm và hoàn thành mục tiêu công ty giao.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0018,qc_pass_pending_human_vsl_review,generated,d00807,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000017,d00808,train,SIGNER_01,Công việc,,,standard,dialog_turns,9,81,61,"Em ơi, chiều nay em có thời gian gặp anh để nói về công việc không?|Dạ có, chiều em rảnh.|Anh muốn nói về vấn đề gì vậy?|Anh muốn đánh giá kết quả công việc của em trong tháng vừa qua.|Vâng, em hơi căng thẳng.|Em không biết mình làm tốt hay chưa.|Em đừng lo, kết quả của em rất tốt.|Năng suất của em cao.|Em sẽ tiếp tục cải thiện và cố gắng nhiều hơn.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0019,qc_pass_pending_human_vsl_review,generated,d00808,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000018,d00811,train,SIGNER_04,Công việc,,,standard,dialog_turns,7,75,56,"Anh ơi, đồng nghiệp mới ngồi cạnh em làm việc rất giỏi.|Sương có kinh nghiệm gì đặc biệt không em?|Cô ấy thành thạo nhiều kỹ năng và rất chăm chỉ, nhanh nhẹn.|Tốt, em nên học hỏi kinh nghiệm từ cô ấy để cải thiện công việc.|Vâng, em sẽ cố gắng.|Em và cô ấy hợp tác rất ăn ý.|Nhóm có người giỏi thì kết quả công việc sẽ tốt hơn.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0022,qc_pass_pending_human_vsl_review,generated,d00811,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000019,d00812,train,SIGNER_06,Công việc,,,standard,dialog_turns,4,80,60,"Chị ơi, cuối tuần này công ty có tổ chức tiệc liên hoan không?|Có em, công ty tổ chức tiệc để kỷ niệm thành công của dự án.|Tất cả nhân viên đều được tham gia phải không chị?|Đúng vậy, giám đốc mời tất cả mọi người cùng tham dự. Em mong được gặp gỡ và trò chuyện với các đồng nghiệp khác. Tiệc bắt đầu lúc sáu giờ tối thứ bảy, em nhớ đến đúng giờ nhé.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0023,qc_pass_pending_human_vsl_review,generated,d00812,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000020,d00813,train,SIGNER_07,Công việc,,,standard,dialog_turns,8,77,58,"Anh ơi, em muốn xin nghỉ phép hai ngày tuần sau được không?|Em xin nghỉ vì lý do gì vậy?|Em cần báo trước cho anh biết.|Em muốn nghỉ mát cùng gia đình.|Em đã hoàn thành hết công việc rồi.|Được, em viết đơn xin nghỉ rồi gửi cho anh kí duyệt nhé.|Em sẽ gửi đơn qua i-meo ngay hôm nay.|Tốt, anh sẽ xem xét và phân công người làm thay em.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0024,qc_pass_pending_human_vsl_review,generated,d00813,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000021,d00815,train,SIGNER_05,Công việc,,,standard,dialog_turns,4,78,58,"Chào anh, em gửi báo cáo dự án qua i-meo rồi, anh xem chưa?|Anh xem rồi, nội dung rõ ràng và chi tiết. Em làm tốt lắm.|Em có cần chỉnh sửa thêm phần nào không?|Em bổ sung thêm biểu đồ cột để trình bày kết quả rõ hơn nhé. Vâng, em sẽ thêm biểu đồ và gửi lại cho anh chiều nay. Tốt, sau đó anh sẽ trình bày báo cáo này trong cuộc họp.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0026,qc_pass_pending_human_vsl_review,generated,d00815,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000022,gf2_congviec_001,train,SIGNER_06,Công việc,storytelling,gian_buc,hard,continuous,12,126,100,"Công ty may Việt Tiến việc nhiều quá, sếp mắng nên tôi bực bội vô cùng. Lương thấp hơn công nhân khu công nghiệp Bình Dương. Nếu sếp mắng tiếp, tôi sẽ nghỉ việc. Công việc mệt như gánh đá, tôi giận đến mặt đỏ gay. Đồng nghiệp nói sếp nóng tính vì đang bị bệnh. Nhưng sếp quát to nhất phòng, ai cũng sợ hãi. Tôi chán, chỉ muốn bỏ về. Nhìn bảng hướng dẫn may, một sai sót nhỏ cũng bị sếp mắng kinh khủng. Tôi lo lắng, tim đập nhanh. Chị Oanh kể chị phải uống thuốc an thần vì quá căng thẳng. Tôi ngạc nhiên, chuyện thật kỳ lạ. Cuối cùng tôi tức giận, quyết định nghỉ việc, thấy thật thoải mái.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0047,qc_pass_pending_human_vsl_review,generated_gf2_llm,gf2_congviec_001,synthetic_CC-BY-4.0,"Ký tự nhiên, LIỀN MẠCH cả đoạn (văn bản không có dấu '|'). Kể/hướng dẫn trôi chảy từ đầu đến cuối. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000023,gf2_congviec_002,train,SIGNER_01,Công việc,instruction_procedure,so_lo,hard,continuous,12,143,107,"Trước khi vào công ty may Việt Tiến, hãy hít sâu vì rất lo. Nhớ kiểm tra trục quấn chỉ lúc vô suốt, đừng để sai sót. Hãy cẩn thận, nhưng tay vẫn run vì sợ bị mắng. Nhân viên mới hãy làm chậm, tuy chậm nhưng đừng làm hỏng vải. Nhớ đọc kỹ hướng dẫn, đừng để sếp giận. Sau khi xong việc, hãy dọn chỗ ngồi thật sạch. Hãy nhìn kỹ mẫu, đừng để nhầm màu khiến lòng lo lắng. Nhớ giữ im lặng, đừng gây ồn khiến mọi người bực. Hãy nhớ kiến thức trường phổ thông trung học để tính số lượng. Hãy nhớ tính chất cơ bản của phân số khi chia vải. Hãy tập trung, đừng để sự sợ hãi làm hỏng sản phẩm. Nhân viên tại khu công nghiệp Bình Dương hãy làm việc cẩn thận.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0048,qc_pass_pending_human_vsl_review,generated_gf2_llm,gf2_congviec_002,synthetic_CC-BY-4.0,"Ký tự nhiên, LIỀN MẠCH cả đoạn (văn bản không có dấu '|'). Kể/hướng dẫn trôi chảy từ đầu đến cuối. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000024,gf2_congviec_003,train,SIGNER_08,Công việc,classroom_dialogue,ngac_nhien,hard,dialog_turns,15,128,96,"Thầy Khánh hỏi Trang làm việc ở đâu?|Trang trả lời đang làm công ty may Việt Tiến.|Thầy Khánh ngạc nhiên Trang làm máy khó vậy sao?|Trang chỉ ốc điều chỉnh bàn đưa vải.|Trang giải thích đường góc đáy thân trước rất khó may.|Thầy Khánh bất ngờ Trang giỏi thế.|Trang cười mừng vì thầy khen.|Trang nói công nhân bị mắng nếu may sai.|Thầy Khánh nhắc Trang học đạo đức xã hội chủ nghĩa.|Trang gật đầu, hứa làm tốt.|Thầy Khánh hỏi Trang đang học thêm gì?|Trang đáp được thầy giáo cảng Hải Phòng dạy thêm.|Thầy Khánh ngạc nhiên vì Trang học nhiều nơi.|Trang lo sợ không đủ thời gian ngủ.|Thầy Khánh cười, bảo Trang cố gắng.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,OOV 48% > 45%,C0049,qc_pass_pending_human_vsl_review,generated_gf2_llm,gf2_congviec_003,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
